Lokaal;gebouw;S;HOOFDTYPE;SOORT;TYPE;ma;di;wo;do;vr
G524;Epy Drost;16;Onderwijsruimte;Specifiek;apple;1-dec;1-dec;1-dec;1-dec;1-nov
G731;Epy Drost;16;Onderwijsruimte;Specifiek;apple;1-dec;1-dec;1-dec;1-dec;1-nov
G739;Epy Drost;16;Onderwijsruimte;Specifiek;apple;1-dec;1-dec;1-dec;1-dec;1-nov
G835;Epy Drost;16;Onderwijsruimte;Specifiek;apple;1-dec;1-dec;1-dec;1-dec;1-nov
G528;Epy Drost;16;Onderwijsruimte;Specifiek;apple;1-dec;1-dec;1-dec;1-dec;1-nov
G529;Epy Drost;16;Onderwijsruimte;Specifiek;apple;1-dec;1-dec;1-dec;1-dec;1-nov
G530;Epy Drost;16;Onderwijsruimte;Specifiek;apple;1-dec;1-dec;1-dec;1-dec;1-nov
G531;Epy Drost;16;Onderwijsruimte;Specifiek;apple;1-dec;1-dec;1-dec;1-dec;1-nov
G532;Epy Drost;16;Onderwijsruimte;Specifiek;apple;1-dec;1-dec;1-dec;1-dec;1-nov
G533;Epy Drost;16;Onderwijsruimte;Specifiek;apple;1-dec;1-dec;1-dec;1-dec;1-nov
G333;Epy Drost;16;Onderwijsruimte;Specifiek;apple;1-dec;1-dec;1-dec;1-dec;1-nov
G629;Epy Drost;25;Onderwijsruimte;Specifiek;Atelier ;1-dec;1-dec;1-dec;1-dec;1-nov
G328;Epy Drost;6;Onderwijsruimte;Specifiek;Atelier textiel          ;1-dec;1-dec;1-dec;1-dec;1-nov
G330;Epy Drost;6;Onderwijsruimte;Specifiek;Atelier textiel          ;1-dec;1-dec;1-dec;1-dec;1-nov
G022;Epy Drost;20;Onderwijsruimte;Specifiek;Breilokaal;1-dec;1-dec;1-dec;1-dec;1-nov
G037b;Epy Drost;10;Onderwijsruimte;Specifiek;Chemisch lab             ;1-dec;1-dec;1-dec;1-dec;1-nov
G836;Epy Drost;50;Onderwijsruimte;Specifiek;Content room             ;1-dec;1-dec;1-dec;1-dec;1-nov
G827;Epy Drost;0;Onderwijsruimte;Specifiek;edit ruimte, audio montag;1-dec;1-dec;1-dec;1-dec;1-nov
G826;Epy Drost;0;Onderwijsruimte;Specifiek;edit ruimte, video montag;1-dec;1-dec;1-dec;1-dec;1-nov
G828;Epy Drost;0;Onderwijsruimte;Specifiek;edit ruimte, video montag;1-dec;1-dec;1-dec;1-dec;1-nov
G627;Epy Drost;4;Onderwijsruimte;Specifiek;fabricage ruimte CMGT;1-dec;1-dec;1-dec;1-dec;1-nov
G630;Epy Drost;16;Onderwijsruimte;Specifiek;Gaming Lab               ;1-dec;1-dec;1-dec;1-dec;1-nov
G631;Epy Drost;32;Onderwijsruimte;Specifiek;Gaming Lab               ;1-dec;1-dec;1-dec;1-dec;1-nov
G037a;Epy Drost;10;Onderwijsruimte;Specifiek;Mechanisch lab           ;1-dec;1-dec;1-dec;1-dec;1-nov
G521;Epy Drost;32;Onderwijsruimte;Specifiek;Projectruimte;1-dec;1-dec;1-dec;1-dec;1-nov
G229;Epy Drost;16;Onderwijsruimte;Specifiek;apple;1-dec;1-dec;1-dec;1-dec;1-nov
G230;Epy Drost;16;Onderwijsruimte;Specifiek;apple;1-dec;1-dec;1-dec;1-dec;1-nov
G231;Epy Drost;16;Onderwijsruimte;Specifiek;apple;1-dec;1-dec;1-dec;1-dec;1-nov
G232;Epy Drost;16;Onderwijsruimte;Specifiek;apple;1-dec;1-dec;1-dec;1-dec;1-nov
G832;Epy Drost;0;Onderwijsruimte;Specifiek;Studio Groot             ;1-dec;1-dec;1-dec;1-dec;1-nov
G833;Epy Drost;0;Onderwijsruimte;Specifiek;Studio Klein             ;1-dec;1-dec;1-dec;1-dec;1-nov
G628;Epy Drost;30;Onderwijsruimte;Specifiek;Technieklab CMGT;1-dec;1-dec;1-dec;1-dec;1-nov
G526;Epy Drost;16;Onderwijsruimte;Specifiek;vr lab;1-dec;1-dec;1-dec;1-dec;1-nov
G321;Epy Drost;32;Onderwijsruimte;Specifiek;Weeflokaal FTT;1-dec;1-dec;1-dec;1-dec;1-nov
G626;Epy Drost;14;Onderwijsruimte;Specifiek;werkplaats CMGT;1-dec;1-dec;1-dec;1-dec;1-nov
G527;Epy Drost;32;Onderwijsruimte;Leslokaal;;1-dec;1-dec;1-dec;1-dec;1-nov
G327;Epy Drost;40;Onderwijsruimte;Leslokaal;;1-dec;1-dec;1-dec;1-dec;1-nov
G221;Epy Drost;32;Onderwijsruimte;Leslokaal;;1-dec;1-dec;1-dec;1-dec;1-nov
G726;Epy Drost;16;Onderwijsruimte;Werkcollege;;1-dec;1-dec;1-dec;1-dec;1-nov
G428;Epy Drost;32;Onderwijsruimte;Leslokaal;;1-dec;1-dec;1-dec;1-dec;1-nov
G233;Epy Drost;32;Onderwijsruimte;Leslokaal;;1-dec;1-dec;1-dec;1-dec;1-nov
G825;Epy Drost;8;Onderwijsruimte;Projectruimte;;1-dec;1-dec;1-dec;1-dec;1-nov
G824;Epy Drost;8;Onderwijsruimte;Projectruimte;;1-dec;1-dec;1-dec;1-dec;1-nov
G826;Epy Drost;8;Onderwijsruimte;Projectruimte;;1-dec;1-dec;1-dec;1-dec;1-nov
